estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2010-2014,B01001_4_5_to_9_years,14551,2687,5183,7934,33281,27540,4973,512,1638,38198,2380,15659,18591,128,4634,4772,1302,3554,574,419,766,1438,551,1808
2010-2014,B01001_5_10_to_14_years,12370,4067,6047,9174,33713,28633,4411,321,1956,37926,2500,14121,16414,246,5211,5941,1229,2365,718,471,745,1629,540,1905
2010-2014,B01001_6_15_to_17_years,7923,2328,3838,5491,20672,17506,2349,283,951,23171,1466,7606,9775,108,3178,3641,778,1577,360,269,345,790,311,923
2010-2014,B01001_7_18_and_19_years,10439,1306,2091,3365,11564,15230,1465,172,624,13794,746,3762,5551,43,1748,2034,492,901,257,69,463,492,205,875
2010-2014,B01001_8_20_years,6015,660,1019,1475,5087,8040,935,93,347,5331,266,1364,3433,67,1003,944,181,624,81,134,534,506,67,256
2010-2014,B01001_9_21_years,5353,590,908,1443,4883,7493,780,49,242,5839,459,1205,3112,10,916,1035,154,399,242,39,410,266,151,493
2010-2014,B01001_10_22_to_24_years,16118,1488,3046,4360,18281,21072,5938,178,894,21002,1008,5098,7413,118,1985,3618,855,2469,507,369,703,898,330,1030
2010-2014,B01001_11_25_to_29_years,34583,2412,4543,7044,33117,33577,16714,323,1370,40050,1769,9220,14918,186,3703,4759,999,7985,946,408,1386,1597,655,1376
2010-2014,B01001_12_30_to_34_years,31120,2233,4233,7202,34158,31649,13893,331,1540,41552,1685,12314,16528,152,3909,4271,1261,8991,859,477,623,1707,798,1601
2010-2014,B01001_13_35_to_39_years,22517,2370,4489,7241,34288,28566,9537,330,1606,39329,1840,14490,16420,178,4364,4134,1147,7313,768,440,876,1405,552,1670
2010-2014,B01001_14_40_to_44_years,21044,2979,5627,9152,33739,30389,8923,481,1805,42303,2305,15915,16755,245,4087,5189,1369,5989,925,392,789,1614,652,1979
2010-2014,B01001_15_45_to_49_years,19324,4120,6327,9854,35732,30422,7432,635,1929,42470,2814,14519,16706,260,5109,5721,1619,5088,790,395,861,1369,717,2246
2010-2014,B01001_16_50_to_54_years,18873,4061,5932,9644,36383,30027,6613,654,1848,42283,2895,12306,15213,334,4668,5321,1587,4637,802,473,661,1365,446,2159
2010-2014,B01001_17_55_to_59_years,16939,3078,4529,8017,32627,25077,5606,576,1570,36345,2162,8591,11758,263,3659,4136,1338,4117,817,318,574,1188,361,1843
2010-2014,B01001_18_60_and_61_years,5918,1103,1735,2794,11482,9196,2093,200,491,12575,965,3051,3751,107,1571,1184,549,1379,186,192,287,277,96,758
2010-2014,B01001_19_62_to_64_years,8332,1575,1896,3620,15622,12450,2985,265,858,17718,1343,3472,5240,311,1975,1596,631,1858,477,308,236,570,122,916
2010-2014,B01001_20_65_and_66_years,4368,921,1165,2145,8547,7167,1529,179,364,9900,766,2184,2709,83,936,1048,447,1140,201,91,217,342,95,597
2010-2014,B01001_21_67_to_69_years,5529,947,1384,2933,10498,7922,1711,218,708,11781,977,2198,3505,172,1309,1213,322,1251,329,138,217,188,92,652
2010-2014,B01001_22_70_to_74_years,7481,1307,1909,2766,13132,9722,2281,270,751,13247,1064,2555,3674,242,1635,1164,708,1443,262,99,184,439,135,978
2010-2014,B01001_23_75_to_79_years,5065,676,1009,2202,9361,6407,1174,242,546,8846,731,1803,2060,106,802,753,373,888,231,113,232,139,66,476
2010-2014,B01001_24_80_to_84_years,3530,462,695,1393,6494,3794,1018,163,287,5905,553,1413,1198,143,933,430,311,575,209,100,133,71,28,345
2010-2014,B01001_25_85_years_and_over,2979,558,607,1125,7205,3048,989,35,221,4546,249,640,1069,25,482,369,168,667,149,55,105,115,0,268
2010-2014,B01001_26_female,333706,45375,78031,121353,521582,459424,110070,7375,23755,564465,33843,171150,215345,3813,64214,66920,19155,75693,11869,6784,14227,20241,7420,27817
2010-2014,B01001_27_under_5_years,18887,2254,4548,7088,32046,29159,6290,390,1558,36787,1881,13453,16919,245,3837,4342,1079,5270,753,378,824,1638,409,1481
2010-2014,B01001_28_5_to_9_years,14870,2798,4730,7914,31642,27220,5192,344,1814,37320,2517,14282,17589,259,4749,5068,1322,3638,553,440,581,1652,803,1947
2010-2014,B01001_29_10_to_14_years,11699,3606,5856,8408,33453,27080,3890,515,1678,35318,2056,14744,15654,160,4728,5427,1294,2261,620,490,725,1296,428,1806
2010-2014,B01001_30_15_to_17_years,8030,2257,3735,5075,19768,16777,2238,381,1000,21654,1545,7433,9317,156,2999,3540,679,1434,556,320,324,941,285,1132
2010-2014,B01001_31_18_and_19_years,12537,1048,1898,3005,10487,14152,1499,236,662,12655,810,3398,5012,85,1531,1917,479,826,201,66,1059,418,137,810
2010-2014,B01001_32_20_years,6853,635,1031,1448,4675,6666,701,21,252,5011,260,1050,2302,0,699,733,268,697,204,42,651,369,28,423
2010-2014,B01001_33_21_years,6602,397,874,1556,4065,7419,438,88,165,6318,316,1152,2682,76,713,868,262,794,252,106,873,145,13,383
2010-2014,B01001_34_22_to_24_years,19109,1492,2868,4181,18160,19755,6776,166,654,19157,1208,4961,8050,61,2458,2454,527,2616,354,197,1089,929,347,1120
2010-2014,B01001_35_25_to_29_years,40983,2307,4633,7135,34382,33541,17454,261,1412,39041,1503,9779,14809,155,3885,4069,1055,9235,861,430,1407,1549,726,1522
2010-2014,B01001_36_30_to_34_years,33548,2464,4948,7473,36093,32940,13336,367,1478,41833,1719,13877,17013,107,4094,4074,1236,9307,741,539,822,1727,868,1591
2010-2014,B01001_37_35_to_39_years,24125,2604,5453,7485,36331,31566,9251,388,1502,41591,2113,15143,16697,206,4381,4371,1073,6673,847,454,857,1414,462,1940
2010-2014,B01001_38_40_to_44_years,19347,3342,6472,9438,38028,32646,7925,473,1565,42942,2425,15939,17362,228,4699,5625,1373,6325,762,433,693,1413,802,2036
2010-2014,B01001_39_45_to_49_years,18897,4206,7005,10177,39968,35006,6818,599,1808,44473,2847,14680,16932,284,5229,6082,1487,5022,789,536,757,1503,385,2147
2010-2014,B01001_40_50_to_54_years,19200,4237,6288,9848,40349,34721,6315,607,1872,44278,2914,11984,15335,310,4947,5308,1568,4819,854,641,739,1421,486,2068
2010-2014,B01001_41_55_to_59_years,18375,3225,4960,8209,35957,30865,6011,685,1493,38908,2287,9026,11265,299,4421,4055,1465,4909,811,397,647,1330,373,2122
2010-2014,B01001_42_60_and_61_years,7802,1165,1656,2982,13915,11144,2026,148,494,13847,815,2874,4579,156,1436,1261,452,1573,287,302,199,290,185,619
2010-2014,B01001_43_62_to_64_years,10071,1497,2354,3752,17234,15610,2991,285,992,18537,1441,3525,5844,177,1738,1608,656,2264,461,221,405,487,120,930
2010-2014,B01001_44_65_and_66_years,5532,1083,1233,2269,10040,9038,1697,198,488,9819,751,2266,2955,115,1445,891,399,1213,250,192,168,194,139,703
2010-2014,B01001_45_67_to_69_years,7180,874,1742,2856,12358,10299,1937,353,772,12373,1088,2772,3730,141,1339,1136,356,1603,431,138,198,377,23,708
2010-2014,B01001_46_70_to_74_years,9560,1231,2083,3514,16131,12569,2398,221,696,15243,1233,2997,4707,256,1624,1671,865,1696,332,129,346,376,182,848
2010-2014,B01001_47_75_to_79_years,7589,1024,1353,2526,12130,8604,1857,254,403,10509,792,2131,2772,153,1297,976,518,1401,361,87,255,256,181,537
2010-2014,B01001_48_80_to_84_years,5560,834,1225,2290,10319,5970,1285,177,506,7826,741,1838,1809,103,971,681,456,896,239,100,268,226,27,455
2010-2014,B01001_49_85_years_and_over,7350,795,1086,2724,14051,6677,1745,218,491,9025,581,1846,2011,81,994,763,286,1221,350,146,340,290,11,489
2010-2014,B02001_1_total,633736,89793,150960,239253,1005087,884764,220173,14273,47910,1117072,66726,338916,428772,7446,126200,134672,38142,146422,23507,13074,26632,40436,14992,54650
2010-2014,B02001_2_white_alone,254955,73139,74611,195658,565216,189096,158046,12887,36998,705991,58451,232135,266081,6857,93660,94428,34867,93493,16234,10138,17588,29696,10177,48029
2010-2014,B02001_3_black_or_african_american_alone,314138,11806,62796,20907,174915,564068,18354,734,6821,104083,5030,24880,86197,284,20006,23169,1446,31614,1107,724,5974,5864,1951,3553
2010-2014,B02001_4_american_indian_and_alaska_native_alone,2072,161,1078,996,2754,3091,1190,62,188,3630,111,847,1348,2,357,665,72,373,175,0,104,43,45,39
2010-2014,B02001_5_asian_alone,22785,1148,4700,10074,143645,37653,21399,163,663,202094,767,52794,32799,53,3291,3875,377,9298,3466,1179,741,2054,1187,868
2010-2014,B02001_6_native_hawaiian_and_other_pacific_islander_alone,195,0,174,144,391,207,213,0,73,814,39,222,469,0,222,138,23,65,37,0,11,0,0,0
2010-2014,B02001_7_some_other_race_alone,23999,821,1511,4447,77094,68041,13711,135,905,51513,307,13422,19209,19,5473,7466,106,5482,1336,475,1089,1120,452,616
2010-2014,B02001_8_two_or_more_races,15592,2718,6090,7027,41072,22608,7260,292,2262,48947,2021,14616,22669,231,3191,4931,1251,6097,1152,558,1125,1659,1180,1545
2010-2014,B02001_9_two_races_including_some_other_race,2015,40,476,787,7548,3797,1470,29,292,7874,62,2092,2351,49,300,483,56,1580,246,37,267,339,272,201
2010-2014,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",13577,2678,5614,6240,33524,18811,5790,263,1970,41073,1959,12524,20318,182,2891,4448,1195,4517,906,521,858,1320,908,1344
2010-2014,B11001_1_total,267415,31041,52269,87259,362608,305115,96264,5619,16436,391794,23162,110047,134737,3281,42280,42763,14324,65916,8480,4966,9849,12274,4526,20126
2010-2014,B11001_2_family_households,113596,23602,38836,63252,250726,202436,44558,3812,12342,278935,17227,85993,104407,2151,33285,34753,10138,31353,5580,3135,5440,9173,3297,14269
2010-2014,B11001_3_married-couple_family,62123,18098,27449,50640,193813,117960,35482,3113,9467,226522,14391,72133,80974,1893,26234,28280,7510,23616,4400,2496,3326,6801,2523,11095
2010-2014,B11001_4_other_family,51473,5504,11387,12612,56913,84476,9076,699,2875,52413,2836,13860,23433,258,7051,6473,2628,7737,1180,639,2114,2372,774,3174
2010-2014,"B11001_5_male_householder,_no_wife_present",10071,1607,2732,3774,15433,20956,3149,110,893,15856,898,4018,7449,140,1843,1682,855,2366,359,125,342,598,127,982
2010-2014,"B11001_6_female_householder,_no_husband_present",41402,3897,8655,8838,41480,63520,5927,589,1982,36557,1938,9842,15984,118,5208,4791,1773,5371,821,514,1772,1774,647,2192
2010-2014,B11001_7_nonfamily_households,153819,7439,13433,24007,111882,102679,51706,1807,4094,112859,5935,24054,30330,1130,8995,8010,4186,34563,2900,1831,4409,3101,1229,5857
2010-2014,B11001_8_householder_living_alone,120523,6088,11097,19343,91421,84352,38581,1420,3323,88588,4858,18679,23977,919,7249,6419,3410,28174,1844,1597,3512,2496,1077,4555
2010-2014,B11001_9_householder_not_living_alone,33296,1351,2336,4664,20461,18327,13125,387,771,24271,1077,5375,6353,211,1746,1591,776,6389,1056,234,897,605,152,1302
2010-2014,B15002_1_total,442721,59690,98571,159810,689671,580609,165544,10136,31866,759095,45368,215348,269324,5578,81642,83859,26074,111478,16327,8744,15482,25239,9785,36579
2010-2014,B15002_2_male,207602,28802,46080,77132,322385,269413,82498,4902,15894,368850,22118,104671,131504,2807,39142,41288,12829,53321,7951,3999,7381,12386,4815,17864
2010-2014,B15002_3_no_schooling_completed,2722,61,286,704,4268,4361,1270,14,255,4405,264,1033,1534,0,298,132,119,509,63,0,39,475,59,105
2010-2014,B15002_4_nursery_to_4th_grade,1704,60,140,187,3225,5442,182,0,90,3088,41,419,845,23,0,86,77,564,56,0,16,255,60,91
2010-2014,B15002_5_5th_and_6th_grade,2312,126,180,690,5371,9407,684,20,335,5121,218,1231,2188,28,349,242,132,629,65,17,82,405,297,218
2010-2014,B15002_6_7th_and_8th_grade,3188,386,518,696,3078,4744,647,84,612,3653,345,939,1655,215,793,546,370,518,35,19,63,245,103,652
2010-2014,B15002_7_9th_grade,2975,502,639,1007,2947,6440,455,94,299,3535,146,938,2099,171,667,452,394,657,44,82,77,178,305,369
2010-2014,B15002_8_10th_grade,3540,709,702,1273,2381,4702,505,128,662,2572,354,660,1765,40,942,426,323,418,94,13,150,203,33,477
2010-2014,B15002_9_11th_grade,4832,511,1149,1309,2844,4969,612,61,457,2673,414,590,1772,37,1058,773,450,640,86,0,96,186,131,307
2010-2014,"B15002_10_12th_grade,_no_diploma",2967,441,711,1113,4598,5785,723,99,205,4899,303,858,2245,25,563,409,304,765,151,6,84,187,124,190
2010-2014,B15002_11_high_school_graduate_(includes_equivalency),38237,9461,15507,19158,43628,75052,6934,1340,5661,43866,6084,13987,28663,644,12783,9820,4849,6154,1119,220,2135,3624,1160,5932
2010-2014,"B15002_12_some_college,_less_than_1_year",5859,2068,3542,4846,11113,15410,1631,316,1243,11471,1821,3994,7378,170,2624,2678,938,1546,177,185,411,731,348,1025
2010-2014,"B15002_13_some_college,_1_or_more_years,_no_degree",20164,4924,8004,10426,34581,42841,6177,704,1764,37731,2902,11542,21264,384,5233,6551,1380,5712,1168,216,980,1622,694,2288
2010-2014,B15002_14_associate's_degree,6090,1441,2949,5359,13447,14206,2961,314,981,17747,1437,5238,9210,131,2326,2607,949,2109,392,83,336,668,367,997
2010-2014,B15002_15_bachelor's_degree,49439,4715,7586,18112,82203,44886,27475,1047,2130,108814,4399,36580,28231,531,6964,9620,1815,16158,2345,1312,1613,2295,816,3581
2010-2014,B15002_16_master's_degree,34599,2526,3141,8580,56890,21944,20141,417,849,83381,2484,21383,18374,238,3403,5792,552,11028,1591,1191,925,926,221,1018
2010-2014,B15002_17_professional_school_degree,19625,401,447,1537,26452,4387,8150,161,241,20173,528,3041,2405,93,717,569,69,3817,286,442,190,189,73,261
2010-2014,B15002_18_doctorate_degree,9349,470,579,2135,25359,4837,3951,103,110,15721,378,2238,1876,77,422,585,108,2097,279,213,184,197,24,353
2010-2014,B15002_19_female,235119,30888,52491,82678,367286,311196,83046,5234,15972,390245,23250,110677,137820,2771,42500,42571,13245,58157,8376,4745,8101,12853,4970,18715
2010-2014,B15002_20_no_schooling_completed,2274,133,329,596,5465,4264,1339,23,187,5226,132,1268,2273,3,305,263,159,451,86,0,15,463,60,92
2010-2014,B15002_21_nursery_to_4th_grade,1548,7,121,271,2989,3926,603,0,83,2986,64,642,1042,0,191,104,6,322,120,26,21,169,33,41
2010-2014,B15002_22_5th_and_6th_grade,2319,43,208,824,5295,6212,779,12,252,6390,100,1221,2006,23,217,137,75,855,90,37,39,345,190,52
2010-2014,B15002_23_7th_and_8th_grade,3101,254,559,776,3759,4466,794,134,315,3853,352,1095,1785,81,670,228,313,818,42,0,109,352,86,358
2010-2014,B15002_24_9th_grade,2925,187,321,894,3577,4413,441,27,210,3341,189,650,1650,48,657,431,220,547,23,35,67,183,71,287
2010-2014,B15002_25_10th_grade,3840,210,797,1055,2929,3982,536,179,440,2826,488,803,1587,109,630,514,325,613,125,0,143,176,75,434
2010-2014,B15002_26_11th_grade,5412,505,1002,904,2578,5084,615,119,390,2291,353,583,1646,86,1024,481,307,632,146,0,206,296,143,447
2010-2014,"B15002_27_12th_grade,_no_diploma",3440,339,638,904,4597,5347,752,64,283,4923,238,1079,1905,0,541,474,165,718,122,47,135,257,83,241
2010-2014,B15002_28_high_school_graduate_(includes_equivalency),44294,9325,15304,20390,54540,79569,7459,1397,5170,56218,6476,15808,30123,699,13041,10587,5247,7148,1408,557,2092,3182,1317,6217
2010-2014,"B15002_29_some_college,_less_than_1_year",8929,2752,4635,6103,15285,19709,1759,363,1478,14743,1945,4900,9453,233,3158,3353,1015,2571,389,130,753,882,250,1418
2010-2014,"B15002_30_some_college,_1_or_more_years,_no_degree",25911,5006,9300,10812,39300,53785,5509,891,2370,42772,3236,13113,21465,464,6901,7279,1718,5419,1045,325,1146,1813,855,2485
2010-2014,B15002_31_associate's_degree,7764,2766,4614,7486,22026,20165,3027,489,1306,23052,1924,7865,11065,179,3560,4198,1113,2551,543,180,449,987,370,1506
2010-2014,B15002_32_bachelor's_degree,53740,5679,8908,18946,100471,57748,29193,953,2459,123989,4929,38788,33008,459,7431,9485,1601,17905,2639,1436,1680,2339,895,3060
2010-2014,B15002_33_master's_degree,44434,2997,4711,9982,70050,33761,21375,475,779,74663,2300,19186,16042,226,3599,4514,879,12188,1123,1303,1035,1242,432,1795
2010-2014,B15002_34_professional_school_degree,17428,455,559,1328,18497,4777,6362,62,192,15127,337,2102,1858,56,371,211,55,3589,296,478,123,130,30,141
2010-2014,B15002_35_doctorate_degree,7760,230,485,1407,15928,3988,2503,46,58,7845,187,1574,912,105,204,312,47,1830,179,191,88,37,80,141
2010-2014,B19001_1_total,267415,31041,52269,87259,362608,305115,96264,5619,16436,391794,23162,110047,134737,3281,42280,42763,14324,65916,8480,4966,9849,12274,4526,20126
2010-2014,"B19001_2_less_than_$10,000",27619,1033,2163,2901,12336,12632,3360,282,475,10619,675,1632,2871,129,1376,1133,633,2298,210,109,1017,422,83,1038
2010-2014,"B19001_3_$10,000_to_$14,999",11413,550,1174,2202,7316,7685,1747,286,686,5040,351,970,1808,160,952,590,773,1278,133,79,583,186,223,753
2010-2014,"B19001_4_$15,000_to_$19,999",9962,676,1247,2103,7160,8273,2396,153,697,6164,518,1397,2051,101,1134,677,652,1498,206,52,383,418,188,874
2010-2014,"B19001_5_$20,000_to_$24,999",10365,782,1421,2482,9122,9015,2070,127,662,6880,762,1703,3116,236,1503,747,705,1894,392,92,431,548,105,1075
2010-2014,"B19001_6_$25,000_to_$29,999",8557,616,1110,2677,8611,9646,2088,268,640,7909,560,1284,2761,172,1659,1167,590,1570,195,186,350,350,116,714
2010-2014,"B19001_7_$30,000_to_$34,999",9414,711,1198,3202,8718,11895,1909,146,755,8463,903,1763,3333,91,1037,929,539,1998,216,22,521,500,90,923
2010-2014,"B19001_8_$35,000_to_$39,999",8439,792,1346,2712,10263,11384,1975,186,767,8055,664,1967,4220,200,1659,1077,591,2193,283,100,428,593,166,785
2010-2014,"B19001_9_$40,000_to_$44,999",10117,917,1433,2705,10666,12967,1966,254,820,8910,634,2667,3633,99,1606,1409,658,2568,129,76,567,466,128,705
2010-2014,"B19001_10_$45,000_to_$49,999",7701,820,1660,2731,9983,11927,2239,129,631,8549,892,2686,4000,206,1432,1104,652,1885,188,131,707,419,144,614
2010-2014,"B19001_11_$50,000_to_$59,999",16358,1830,3234,6211,22346,25405,4712,261,1426,19894,1173,4570,9247,254,3366,3076,1326,4186,617,228,587,1317,566,1759
2010-2014,"B19001_12_$60,000_to_$74,999",21908,3051,4715,8744,31186,33935,7688,686,1864,31279,2290,7777,12029,327,4341,3825,1321,6692,775,415,1005,1373,539,2136
2010-2014,"B19001_13_$75,000_to_$99,999",29330,4512,8088,12334,45676,45013,12952,729,2390,49312,3082,12842,19277,364,6367,5930,2234,9098,864,606,1018,1576,701,2851
2010-2014,"B19001_14_$100,000_to_$124,999",23828,4059,6877,10915,40600,34725,11378,527,1704,47117,3163,14451,16167,314,5099,5586,1425,7147,826,470,754,1320,594,2216
2010-2014,"B19001_15_$125,000_to_$149,999",16427,3457,5383,8171,30470,23678,8882,575,1268,36646,2147,12629,13801,204,3823,4554,905,5379,852,473,388,1118,283,1430
2010-2014,"B19001_16_$150,000_to_$199,999",21655,4346,6250,9490,43856,26964,12092,448,1100,54683,2651,18714,18533,209,4316,5685,776,6692,1140,629,604,904,380,1333
2010-2014,"B19001_17_$200,000_or_more",34322,2889,4970,7679,64299,19971,18810,562,551,82274,2697,22995,17890,215,2610,5274,544,9540,1454,1298,506,764,220,920
2010-2014,B19013_1_median_household_income_in_the_past_12_months_(in_2014_inflation-adjusted_dollars),69235,95425,91910,84480,98704,73856,105120,75508,65235,112102,92078,123966,98514,59753,78505,98721,60560,87319,100584,120500,49454,71215,73460,66205
2010-2014,B25001_1_total,300798,34195,56404,91814,380250,329350,108021,6259,17869,409108,25905,115599,141002,3919,45747,45107,16037,73502,8745,5492,11037,13232,4895,22268
2010-2014,B25003_1_total,267415,31041,52269,87259,362608,305115,96264,5619,16436,391794,23162,110047,134737,3281,42280,42763,14324,65916,8480,4966,9849,12274,4526,20126
2010-2014,B25003_2_owner_occupied,111198,25209,40740,64897,241626,189940,43157,4275,12039,267156,18417,84662,96757,2600,32204,32769,10708,28146,5944,2933,3561,7936,2893,15311
2010-2014,B25003_3_renter_occupied,156217,5832,11529,22362,120982,115175,53107,1344,4397,124638,4745,25385,37980,681,10076,9994,3616,37770,2536,2033,6288,4338,1633,4815
2010-2014,B25024_1_total,300798,34195,56404,91814,380250,329350,108021,6259,17869,409108,25905,115599,141002,3919,45747,45107,16037,73502,8745,5492,11037,13232,4895,22268
2010-2014,"B25024_2_1,_detached",35925,29637,40508,58050,183607,169912,28523,5543,13673,196441,21484,62593,78837,3815,36128,33859,13087,10860,4821,2146,4563,5767,2586,17072
2010-2014,"B25024_3_1,_attached",76489,2113,9869,17946,69536,52577,10465,128,1503,94511,1863,33148,37423,15,3916,6141,927,15839,1713,754,1119,3972,1277,1817
2010-2014,B25024_4_2,9051,373,151,1265,1984,1618,1080,142,166,1660,407,491,741,27,85,75,240,950,7,9,351,32,29,297
2010-2014,B25024_5_3_or_4,22135,157,989,1534,4803,5551,4216,18,355,4517,331,1144,1472,12,269,403,566,2129,109,136,427,338,28,276
2010-2014,B25024_6_5_to_9,19822,147,986,2556,19087,23020,5910,146,562,19791,143,3535,3384,24,445,1023,270,6346,347,102,753,608,19,589
2010-2014,B25024_7_10_to_19,33410,626,979,6225,36524,48810,8903,38,557,41337,697,8243,12898,0,1018,1615,559,10210,1186,305,2057,1757,233,415
2010-2014,B25024_8_20_to_49,25158,267,1075,1479,11387,6070,5762,14,146,12919,162,2378,2211,0,807,448,7,3933,128,177,931,233,267,86
2010-2014,B25024_9_50_or_more,78590,506,1069,2033,52699,20220,42784,217,90,35732,322,3567,2562,0,915,412,31,23162,434,1836,821,333,450,162
2010-2014,B25024_10_mobile_home,123,369,751,681,541,1488,359,13,777,2070,496,463,1472,26,2124,1131,350,73,0,27,15,192,6,1554
2010-2014,"B25024_11_boat,_rv,_van,_etc.",95,0,27,45,82,84,19,0,40,130,0,37,2,0,40,0,0,0,0,0,0,0,0,0
2010-2014,B25077_1_median_value_(dollars),454500,347300,287000,301300,448700,258800,594800,337700,243400,486900,351900,443100,323400,383700,245600,300000,210900,494400,462800,665400,317000,257500,222300,204900
2010-2014,B25034_1_total,300798,34195,56404,91814,380250,329350,108021,6259,17869,409108,25905,115599,141002,3919,45747,45107,16037,73502,8745,5492,11037,13232,4895,22268
2010-2014,B25034_2_built_2010_or_later,3273,319,1297,1262,3399,2351,2000,12,140,3301,254,4895,2694,36,495,1010,217,494,51,51,528,140,12,83
2010-2014,B25034_3_built_2000_to_2009,26293,6547,12278,17047,44639,36289,17179,1222,4837,50407,4936,44456,42466,377,12036,12635,2457,8352,830,812,1838,946,1367,5451
2010-2014,B25034_4_built_1990_to_1999,8966,8965,11755,20525,47320,44037,9936,876,3478,63597,3889,31267,25214,692,13160,12113,2712,8411,847,271,846,2098,1024,4107
2010-2014,B25034_5_built_1980_to_1989,13111,7571,10929,16005,81428,44690,12421,669,2541,94772,6240,14413,28623,633,9951,8979,2500,7090,702,339,985,5168,545,3737
2010-2014,B25034_6_built_1970_to_1979,23410,5206,9199,12810,61932,53099,11441,1077,2299,85349,4114,9045,23118,335,5746,5639,2477,12661,1028,909,2303,2078,385,3662
2010-2014,B25034_7_built_1960_to_1969,36905,1652,4999,6010,56647,68991,12297,507,1427,57522,1572,4328,11619,396,1607,1986,1615,13647,2299,1039,1478,1802,441,1364
2010-2014,B25034_8_built_1950_to_1959,40789,1397,2389,4603,47011,44663,16578,515,1140,39452,1447,2076,4066,188,1335,1453,1466,8522,2388,929,854,437,1097,1113
2010-2014,B25034_9_built_1940_to_1949,40871,1137,1586,2405,20152,19285,16315,337,483,9998,489,923,1328,240,559,515,899,8009,441,782,403,144,15,507
2010-2014,B25034_10_built_1939_or_earlier,107180,1401,1972,11147,17722,15945,9854,1044,1524,4710,2964,4196,1874,1022,858,777,1694,6316,159,360,1802,419,9,2244
2010-2014,B25127_1_total,267415,31041,52269,87259,362608,305115,96264,5619,16436,391794,23162,110047,134737,3281,42280,42763,14324,65916,8480,4966,9849,12274,4526,20126
