estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2010-2014,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2010-2014,FILETYPE,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5
2010-2014,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2010-2014,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2010-2014,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2010-2014,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2010-2014,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2010-2014,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2010-2014,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2010-2014,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2010-2014,B01003_1_total,633736,89793,150960,239253,1005087,884764,220173,14273,47910,1117072,66726,338916,428772,7446,126200,134672,38142,146422,23507,13074,26632,40436,14992,54650
2010-2014,B01001_1_total,633736,89793,150960,239253,1005087,884764,220173,14273,47910,1117072,66726,338916,428772,7446,126200,134672,38142,146422,23507,13074,26632,40436,14992,54650
2010-2014,B01001_2_male,300030,44418,72929,117900,483505,425340,110103,6898,24155,552607,32883,167766,213427,3633,61986,67752,18987,70729,11638,6290,12405,20195,7572,26833
2010-2014,B01001_3_under_5_years,19659,2490,4717,7526,33639,30413,6754,388,1609,38496,1940,14280,17634,106,4169,4479,1167,5519,948,521,1058,1790,602,1679
